Timestamp,Team #?,Match #?,Starting location?,"AUTO scoring 
(uncheck all but final score before continuing) [Speaker score ✅]","AUTO scoring 
(uncheck all but final score before continuing) [Speaker miss ❌]","AUTO scoring 
(uncheck all but final score before continuing) [Amp score ✅]","AUTO scoring 
(uncheck all but final score before continuing) [Amp miss ❌]",# Fouls?,# Tech fouls?,"Tele-op scoring 
(uncheck all but final score before continuing) [Amp score ✅]","Tele-op scoring 
(uncheck all but final score before continuing) [Amp miss ❌]","Tele-op scoring 
(uncheck all but final score before continuing) [Speaker score ✅]","Tele-op scoring 
(uncheck all but final score before continuing) [Speaker miss ❌]",# Fouls?,# Tech fouls?,Climb?,Scored trap?,Harmony? (2 robots on the same chain),Driver performance?,How much defence was played ON this robot?,How effective the defense against this robot?,Did the robot break on the field?,Other notes?,Did this robot PLAY defence? If so how effectively?,Tele-op [Note passes],AUTO [Note passes],Tried center line pickup?,Successful pickup from center line?,Successful Exit STARTING ZONE
3/17/2024 11:29:01,1446,67,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,"See previous notes, all true",Not effective,,,No,No,No
3/17/2024 11:29:27,686,67,Amp,2,,,,,,,,4,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,Not got stuck in the robot. ,N/A,3,,Yes,Yes,Yes
3/17/2024 11:35:30,3748,68,Amp,1,,,,,,,,3,,,,Successful attempt,No attempt,Failed attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,No
3/17/2024 11:36:21,1389,68,Center,,,,,,,3,,2,1,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,Slower but did a pretty good job ,N/A,,,No,No,No
3/17/2024 11:36:27,1727,68,Center,3,,,,,,6,,5,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,Excellent at the amp. Could pair well with a passer and a speaker shooter. ,N/A,,,Yes,Yes,Yes
3/17/2024 11:36:29,888,68,Center,,1,,,,,,,3,,,,Failed attempt,No attempt,Failed attempt,"4 - Good, slight hesitation, but seemed purposeful",Heavy,Not effective,No,Intake jammed for a bit then note got stuck on a protrusion but both cleared. ,Somewhat effective,,,Yes,No,Yes
3/17/2024 11:36:36,7886,68,Source,,,,,,,,,,,2 or 3 for hitting opponents in source zone,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,"Continued hitting opponents in source zone, then parked for the rest of the match",Not effective,,,No,No,No
3/17/2024 11:43:28,2914,68,Source,,,,,,,,,1,,,,Failed attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,Had some driving problems,N/A,,,No,No,No
3/17/2024 11:43:25,3793,69,Source,,,,,,,4,,,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,Yes
3/17/2024 11:44:01,4541,69,Center,1,,,,,,2,,5,1,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,Waited for the amp to clear wasted about ten seconds ,N/A,,,No,No,Yes
3/17/2024 11:44:05,4464,69,Amp,,,,,0,0,,,,,0,1,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,Not effective,Yes,"Note stuck in perimeter, tried to play defense but was horrible at it",Not effective,,,No,No,No
3/17/2024 11:44:32,5115,69,Center,1,1,,,,,3,,4,1,,,Successful attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Heavy,Not effective,No,Sour 2 notes in wrong direction ,N/A,,,No,No,No
3/17/2024 11:44:37,2537,69,Amp,1,,,,,,2,,5,,,,Successful attempt,No attempt,Failed attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,,N/A,,,No,No,No
3/17/2024 11:50:09,614,69,Center,1,,,,,,,,,,,,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,Was having problems with shooting,N/A,,,No,No,No
3/17/2024 11:50:09,8326,70,Center,2,,,,,,,,6,1,,,Successful attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,"Shooting has slowed down it seems but still
Accurate ",N/A,,,No,No,No
3/17/2024 11:50:09,1719,70,Source,,1,,,,,,,4,1,,,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,No,No,No
3/17/2024 11:51:44,2377,70,Source,3,,,,0,0,3,,4,,0,0,Failed attempt,Failed attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,"Amazing driver, fast robot. Great intake, looked like they tried to go for trap, but the time they took going to the substation for a note ended up wasting enough time to fail the their hang. ",N/A,,,No,No,Yes
3/17/2024 11:51:57,1418,70,Amp,,1,,,,,1,1,,1,"Died under opponents stage, red took advantage",,Successful attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",Light,Somewhat effective,Yes,"Got hit, lifted up, didn't run right after. Stalled under opponent stage. Climbed quickly but teammate ran into it, my not have counted",N/A,1,,No,No,No
3/17/2024 11:52:29,2849,70,Amp,1,,,,,,,,,,3,1-finished in blue stage,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,Got stuck in chain on blue stage,Very effective,,,No,No,No
3/17/2024 11:57:05,1111,70,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,,Very effective,,,No,No,No
3/17/2024 11:57:30,9072,71,Center,1,,,,,,,,13,1,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Heavy,Not effective,No,Quick and accurate shooter ,N/A,,,Yes,Yes,Yes
3/17/2024 11:57:31,8514,71,Amp,,,,,,,3,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,Not effective,,,No,No,No
3/17/2024 11:57:43,4456,71,Center,3,,,,,,,,6,4,,,Successful attempt,Failed attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Heavy,Not effective,No,Floppy floor intake; preferred source pickup,N/A,,,No,No,No
3/17/2024 11:58:06,7770,71,Source,,,,,,,,,,,,,Successful attempt,No attempt,Successful attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,Not effective,,,No,No,No
3/17/2024 11:58:51,5243,71,Center,1,,,,,,,,,1,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,Was a distraction and obstacle for opponents. They tried.,Somewhat effective,,,No,No,
3/17/2024 12:03:21,6213,72,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,Somewhat effective,,,No,No,No
3/17/2024 12:03:25,6326,72,,,1,,,,,5,,,1,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,Yes
3/17/2024 12:03:31,4638,72,Center,2,,,,,,,,2,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,No,No,Yes
3/17/2024 12:03:43,1908,72,Center,1,,,,,,,,8,,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,Good aim for speaker scoring but has to be right in the middle to score ,N/A,,,No,No,No
3/17/2024 12:04:56,8726,72,Center,2,,,,,,,,7,,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Somewhat effective,No,Took a couple big hits and kept going. Intake is slow. Accurate shots in speaker ,N/A,,,No,No,Yes
3/17/2024 12:04:56,5841,72,Amp,1,,,,,,,,2,1,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",Light,N/A,No,,Somewhat effective,,,No,No,No
3/17/2024 11:36:05,68,116,Amp,1,,,,0,0,,,3,1,0,1,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",Light,Not effective,No,Unreliable driver,Not effective,,,No,No,No
3/17/2024 8:32:22,1111,???,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,,N/A,,,No,No,No
