"Shifts Auto Primary Role","Shifts Auto Secondary Role","Shifts Auto Fuel Pct","Shifts Auto Starting Position","Shifts Auto Climb","Shifts Transition Primary Role","Shifts Transition Secondary Role","Shifts Transition Fuel Pct","Shifts Transition Defense On","Shifts Shift1 Primary Role","Shifts Shift1 Secondary Role","Shifts Shift1 Fuel Pct","Shifts Shift1 Defense On","Shifts Shift2 Primary Role","Shifts Shift2 Secondary Role","Shifts Shift2 Fuel Pct","Shifts Shift2 Defense On","Shifts Shift3 Primary Role","Shifts Shift3 Secondary Role","Shifts Shift3 Fuel Pct","Shifts Shift3 Defense On","Shifts Shift4 Primary Role","Shifts Shift4 Secondary Role","Shifts Shift4 Fuel Pct","Shifts Shift4 Defense On","Shifts Endgame Primary Role","Shifts Endgame Secondary Role","Shifts Endgame Fuel Pct","Shifts Endgame Defense On","Shifts Endgame Climb"," Id"," Hash","  V","Alliance","Createdat","Event Key","Match Key","Match Number","No Show","Overall Shooter","Overall Passer","Overall Intake","Overall Driver","Overall Defense Avoidance","Overall Defense","Overall Notes","Scouter","Team Number","Updatedat"
"Idle","None","","Hub","Not Attempted","Score","None","10","None","Score","None","10","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69c929cfa23b3c9917031347","2a29d50424d8a4a888e1fafce3aa13cca194d717d6c01b5f658d19ea1c98e4b0","","red","2026-03-29T13:31:59.776Z","2026mdsev","2026mdsev_qm51","51","","2","","3","3","","","Kinda mid and was littering for some reason.","Arihan","1915","2026-03-29T13:31:59.776Z"
"Intake from Neutral Zone","Idle","","Right Trench","Not Attempted","Idle","Idle","","None","Score","Score","20","None","Pass","Pass","","None","Score","None","30","None","Score","Score","","None","Score","Score","10","None","Not Attempted","69c86446a23b3c991702d0a4","d46d2661b67ceb98ef6691d71df13412d99a1c4a86491ac4e218943eee69d52b","","red","2026-03-28T23:29:10.287Z","2026mdsev","2026mdsev_qm50","50","","3","","","3","","","","Sai","2377","2026-03-28T23:29:10.287Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69c8643ba23b3c991702d0a2","60665d150391ccacc3381076d944ab0813f80d6427ab217d50bcc687acf6c3a6","","blue","2026-03-28T23:28:59.541Z","2026mdsev","2026mdsev_qm50","50","","","","","1","","","Idle ","Nidhish","2849","2026-03-28T23:28:59.541Z"
"Score","Score","60","Right Trench","Not Attempted","Score","Score","70","None","Intake from Neutral Zone","Pass","","None","Score","Score","80","None","Intake from Neutral Zone","Idle","","None","Score","Score","90","None","Score","Score","70","None","Not Attempted","69c8643aa23b3c991702d0a1","c73949d69a8d90c1fab6983b66d447bf91b1f054aa0892ea98fc88d45ffc1c23","","blue","2026-03-28T23:28:58.916Z","2026mdsev","2026mdsev_qm50","50","","4","3","5","5","","","","KING BLUB (OFORI)","2199","2026-03-28T23:28:58.916Z"
"Intake from Neutral Zone","Score","80","Left Trench","Not Attempted","Intake from Neutral Zone","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Score","None","90","None","Score","None","80","None","Not Attempted","69c86436a23b3c991702d0a0","6504fe004ab5bbb2906a7cb7d9d160c4049e6347d334378923bb730c1546ef02","","blue","2026-03-28T23:28:54.605Z","2026mdsev","2026mdsev_qm50","50","","4","","3","3","","","Stopped working for half the game, then woke up","Praneel","3748","2026-03-28T23:28:54.605Z"
"Intake from Neutral Zone","Idle","","Left Trench","Not Attempted","Pass","None","","None","Idle","None","","None","Pass","None","","None","Defense","None","","None","Pass","None","","None","Pass","None","","None","Not Attempted","69c861e3a23b3c991702d00f","4f5a6aa99ad29b2ef558a2e2219aa9dcaa5e20db6cd84dee13de5ba73163bdd3","","blue","2026-03-28T23:18:59.795Z","2026mdsev","2026mdsev_qm49","49","","","4","","5","","3","Passer+defence","Nidhish","339","2026-03-28T23:18:59.795Z"
"Score","Score","90","Right Trench","Not Attempted","Score","Score","","None","Idle","Score","","Heavy","Score","Pass","","None","Pass","Score","","Moderate","Score","Score","","Heavy","Idle","Idle","","None","Not Attempted","69c861d3a23b3c991702d00a","8d90a8fbac4149814e0a11a366dfe9fe56682b4fbdd8b10db9f80a8ce8301e5f","","blue","2026-03-28T23:18:43.680Z","2026mdsev","2026mdsev_qm49","49","","","1","2","5","3","","","KING BLUB (OFORI)","8622","2026-03-28T23:18:43.772Z"
"Score","None","60","Hub","Not Attempted","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69c861cca23b3c991702d008","3c960695a49a231ee8dc684ca39962dd30fc2cee9937d8c5ed1576ec3fe39090","","blue","2026-03-28T23:18:36.684Z","2026mdsev","2026mdsev_qm49","49","","","","","1","","","Intake didn’t work, didn’t play defense. DNP","Praneel","8726","2026-03-28T23:18:36.684Z"
"Idle","Idle","","Hub","Not Attempted","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Idle","Idle","","None","Not Attempted","69c861bea23b3c991702d001","f78b9f14d3b7b8fa7ebab4f7368ddc639ff243fe0accdfaac868fc3e13ec38a6","","red","2026-03-28T23:18:22.916Z","2026mdsev","2026mdsev_qm49","49","","","","","1","","","","Sai","2534","2026-03-28T23:18:22.916Z"
"Score","None","80","Left Trench","Not Attempted","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","Pass","","None","Score","None","80","None","Intake from Neutral Zone","None","","None","Score","None","90","None","Intake from Neutral Zone","Score","90","None","Not Attempted","69c85fd7a23b3c991702cf9e","c9a607fc2ad2ce6ac1b3da186bd485890fce8269f11b3589c12cde91fadeb74f","","blue","2026-03-28T23:10:15.872Z","2026mdsev","2026mdsev_qm48","48","","5","3","4","4","","","Great ","Nidhish","8592","2026-03-28T23:10:15.872Z"
"Score","Score","100","Right Trench","Not Attempted","Score","Score","","None","Score","Idle","","None","Score","Score","70","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","100","None","Score","Score","60","None","Not Attempted","69c85fd5a23b3c991702cf9a","f96b80353d562ef4022a1c698001df365a318886423361c50a7c135310a36787","","blue","2026-03-28T23:10:13.891Z","2026mdsev","2026mdsev_qm48","48","","3","","3","3","","","","KING BLUB (OFORI)","4541","2026-03-28T23:10:13.891Z"
"Idle","Idle","","Hub","Not Attempted","Pass","None","","None","Idle","Intake from Neutral Zone","","Moderate","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69c85f7ea23b3c991702cf80","6df61c0862201cf95f64749e64b6f310deaaa246ce71a0323f8c27a9a76c01d3","","red","2026-03-28T23:08:46.161Z","2026mdsev","2026mdsev_qm48","48","","1","","","1","","","Bumper came off","Sai","2912","2026-03-28T23:08:46.161Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69c85db4a23b3c991702cf1d","b5c0d704c9e48c341b717f4cddd90f4b041df5acc267b08a2bf31e0b1bb3041c","","red","2026-03-28T23:01:08.435Z","2026mdsev","2026mdsev_qm48","48","true","","","","","","","","Arihan","11211","2026-03-28T23:01:08.435Z"
"Intake from Neutral Zone","Score","40","Left Trench","Not Attempted","Score","Intake from Neutral Zone","40","None","Intake from Neutral Zone","None","","None","Score","None","60","None","Intake from Neutral Zone","Pass","","None","Score","None","80","None","Score","None","60","None","Not Attempted","69c85c8ea23b3c991702cee4","0cd826c7cba38e3def8878f681e76f14b0068ad72ed7ef9f0b0e83f99df82063","","blue","2026-03-28T22:56:14.856Z","2026mdsev","2026mdsev_qm47","47","","4","3","2","4","","","Pretty good accuracy ","Snithik","3748","2026-03-28T22:56:14.856Z"
"Score","Score","20","Right Bump","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","60","Moderate","Intake from Neutral Zone","None","","Heavy","Intake from Neutral Zone","Intake from Neutral Zone","","Heavy","Idle","Idle","","Heavy","Idle","Idle","","Heavy","Not Attempted","69c85c82a23b3c991702cee0","c7f868d819c23b3aad0e584137487dedfb4abad482e4d806a8c8f0a0e1c1e04d","","red","2026-03-28T22:56:02.402Z","2026mdsev","2026mdsev_qm47","47","","3","","","3","1","","Got stuck on another robot and they got defended ","Sai","1418","2026-03-28T22:56:02.402Z"
"Score","Score","80","Hub","Not Attempted","Idle","Intake from Neutral Zone","","None","Intake from Neutral Zone","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Not Attempted","69c85c68a23b3c991702cedd","43a8f266efdb66c6bc05697d4a1e39ead549354d9d984a8bb0496266db53a9f9","","blue","2026-03-28T22:55:36.668Z","2026mdsev","2026mdsev_qm47","47","","3","","","5","","5","","KING BLUB (OFORI)","4505","2026-03-28T22:55:36.668Z"
"Score","None","30","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","Pass","","None","Score","None","70","None","Pass","Score","","None","Score","Pass","90","None","Score","None","80","None","Not Attempted","69c85a5aa23b3c991702ce16","cd8ecd045c10b6979acfc3565eec6ea6969659a55979bf2897f1c15414f5cf76","","blue","2026-03-28T22:46:50.202Z","2026mdsev","2026mdsev_qm46","46","","3","2","2","3","","","","Snithik","623","2026-03-28T22:46:50.202Z"
"Idle","Idle","","Hub","Not Attempted","Idle","Idle","","None","Idle","Idle","","None","Score","Idle","80","Heavy","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69c85a47a23b3c991702ce06","d5aad7e60428631eddfc4ed7cbae9b4e62fe4547d512c8e3e3f7dd13a796babd","","blue","2026-03-28T22:46:31.022Z","2026mdsev","2026mdsev_qm46","46","","","","","1","","","","KING BLUB (OFORI)","2914","2026-03-28T22:46:31.022Z"
"Idle","Idle","","Hub","Not Attempted","Idle","Idle","","None","Idle","Idle","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Idle","Score","30","None","Intake from Neutral Zone","None","","None","Score","None","10","None","Not Attempted","69c85a44a23b3c991702ce03","284e21088a2df5f3bfb4cf0475e0097a499e9db72c6f3cbe20272586d8fad9bc","","red","2026-03-28T22:46:28.572Z","2026mdsev","2026mdsev_qm46","46","","2","","2","3","","","","Sai","8726","2026-03-28T22:46:28.572Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69c85a0ea23b3c991702cdc2","4416cc73b7ba714425d654cde62f11bf34b31f8de0c0393dc878e19b60f70e57","","red","2026-03-28T22:45:34.886Z","2026mdsev","2026mdsev_qm46","46","","","","","1","","","Idel","Nidhish","2534","2026-03-28T22:45:34.886Z"
"Score","None","20","Right Bump","Not Attempted","Defense","Defense","","None","Intake from Neutral Zone","Score","30","None","Intake from Neutral Zone","Pass","","None","Score","Score","20","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","20","None","Not Attempted","69c858e7a23b3c991702ccd8","6e91c9c8b2b3be3cd44be85daae549285dbb6c61ac454618318548a8833297c9","","red","2026-03-28T22:40:39.797Z","2026mdsev","2026mdsev_qm45","45","","3","","3","3","","","","Sai","1389","2026-03-28T22:40:40.741Z"
"Idle","None","","Hub","Not Attempted","Pass","None","","None","Pass","None","","None","Intake from Neutral Zone","Defense","","None","Pass","None","","None","Pass","None","","None","Pass","None","","None","Not Attempted","69c85894a23b3c991702c875","b921ac06b140d3004baf49a73ee423dee743e34b8011404ba3a232148d880c7d","","blue","2026-03-28T22:39:16.105Z","2026mdsev","2026mdsev_qm45","45","","","2","","1","","1","Only used for bad passing moves extremely slowly and got carried ","Snithik","1446","2026-03-28T22:39:16.105Z"
"Score","Score","100","Left Trench","Not Attempted","Pass","Pass","","None","Intake from Neutral Zone","Pass","","None","Score","Score","100","None","Intake from Neutral Zone","Pass","","None","Score","Score","100","None","Score","Score","100","None","Not Attempted","69c85884a23b3c991702c872","fdda3a1ce6d845e59c5e373c0a91816435a55bdc28aeaebde7f548c8033ba122","","blue","2026-03-28T22:39:00.634Z","2026mdsev","2026mdsev_qm45","45","","5","5","5","5","","","","KING BLUB (OFORI)","836","2026-03-28T22:39:00.634Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69c85782a23b3c991702c2bf","5aaf3e69db8a0d966a7e77786486241c4f5a355e117b5d4c1f7ceef8f12f9107","","red","2026-03-28T22:34:41.996Z","2026mdsev","2026mdsev_qm45","45","true","","","","","","","","Nidhish","1915","2026-03-28T22:34:41.996Z"
"Score","None","10","Left Bump","Not Attempted","Intake from Neutral Zone","Pass","","None","Intake from Neutral Zone","Pass","","None","Score","None","60","None","Intake from Neutral Zone","Pass","","None","Score","None","50","None","Score","Intake from Neutral Zone","100","None","Not Attempted","69c856dfa23b3c991702c260","fb9b7d4f1032219b670947bb1d8303362890ab96e267c0bfaa1b0a33e6eecdb0","","blue","2026-03-28T22:31:59.451Z","2026mdsev","2026mdsev_qm44","44","","3","","2","3","","","Got a bit of points by themselves and it was a 1 v 1 after some time for getting points ","Snithik","11318","2026-03-28T22:31:59.451Z"
"Score","Idle","30","Right Bump","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Idle","20","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69c856a2a23b3c991702c248","f6717284717c4ee5c5703ab7d366b22a5bd39936602d60f3f83ed5a488e24048","","blue","2026-03-28T22:30:58.703Z","2026mdsev","2026mdsev_qm44","44","","","","1","1","","","","KING BLUB (OFORI)","10449","2026-03-28T22:30:58.703Z"
"Intake from Neutral Zone","Score","40","Left Trench","Not Attempted","Score","None","30","None","Intake from Neutral Zone","Score","20","None","Pass","Intake from Neutral Zone","","None","Score","Score","30","None","Intake from Neutral Zone","Pass","","None","Score","Score","50","None","Not Attempted","69c85697a23b3c991702c240","8d09e4481b976020618e0c044921f62a567661bbe6ce506aa578ddab1877cdcf","","red","2026-03-28T22:30:47.245Z","2026mdsev","2026mdsev_qm44","44","","3","","3","4","","","Shooting was not that accurate but fast","Sai","1727","2026-03-28T22:30:47.245Z"
"Idle","Score","","Hub","Not Attempted","Pass","Intake from Neutral Zone","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69c8562da23b3c991702c235","76771512f45d16049bc9b9b2f2252fd8748a1b14a6f4112724a148e58b80f970","","red","2026-03-28T22:29:01.169Z","2026mdsev","2026mdsev_qm44","44","","","","","1","","","E stop","Nidhish","2912","2026-03-28T22:29:01.169Z"
"Score","Pass","90","Left Trench","Not Attempted","Score","Score","","None","Pass","Idle","","None","Score","Score","100","None","Pass","Intake from Neutral Zone","","None","Score","Score","100","None","Score","Score","80","None","Not Attempted","69c8541ca23b3c991702c1af","6c0e9c4835db1fba546827d3aa9b592f9925aa7c2c8df37c01f0b85da2eed9ea","","blue","2026-03-28T22:20:12.162Z","2026mdsev","2026mdsev_qm43","43","","3","4","4","5","4","","","KING BLUB (OFORI)","4541","2026-03-28T22:20:12.162Z"
"Score","Score","20","Left Trench","Not Attempted","Score","Score","30","None","Score","Score","30","Moderate","Intake from Neutral Zone","Pass","","None","Score","Score","30","Heavy","Intake from Neutral Zone","None","","None","Score","Score","40","None","Not Attempted","69c85403a23b3c991702c1a8","ec7a1485d7cf0b270b2554e8fca01f725f081f463ee551ec20d20e1026291d1e","","red","2026-03-28T22:19:47.261Z","2026mdsev","2026mdsev_qm43","43","","4","","3","4","","","","Sai","2377","2026-03-28T22:19:47.261Z"
"Idle","None","","Left Bump","Not Attempted","Idle","None","","None","Defense","Pass","","None","Defense","Pass","","None","Defense","Pass","","None","Defense","Pass","","None","Defense","Pass","","None","Not Attempted","69c853b0a23b3c991702c18b","da886f40da65c0b35ac75252720fdfba6625cfccbcf45d7dff6a85f4f1f63207","","red","2026-03-28T22:18:24.795Z","2026mdsev","2026mdsev_qm43","43","","","4","","5","","5","Good defence and passing","Nidhish","11211","2026-03-28T22:18:24.795Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69c8538ca23b3c991702c185","2b452de9f64f675990eda9b83c330a7e9650d6fb26bcb959dec5bed01a073ff7","","blue","2026-03-28T22:17:48.353Z","2026mdsev","2026mdsev_qm43","43","true","","","","","","","","Snithik","2963","2026-03-28T22:17:48.353Z"
"Idle","Idle","","Hub","Not Attempted","Score","Score","","None","Pass","Pass","","None","Score","Score","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","","None","Score","Score","","None","Not Attempted","69c85259a23b3c991702c13d","e103a5f0d8c38b756d6c37876afb24ed4ba8a85021109ae219136246a865c224","","blue","2026-03-28T22:12:41.108Z","2026mdsev","2026mdsev_qm42","42","","1","2","","1","","","","KING BLUB (OFORI)","1111","2026-03-28T22:12:41.114Z"
"Score","None","10","Left Bump","Not Attempted","Intake from Neutral Zone","None","","None","Defense","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Defense","None","","None","Not Attempted","69c85254a23b3c991702c13c","eb588c423c729eca9d320af6063ed322c3c4b611b21ff0f92af3aed21da7b773","","blue","2026-03-28T22:12:36.196Z","2026mdsev","2026mdsev_qm42","42","","","","","1","","1","Got stuck, broke, and let it’s teammates get stuck on the bump even though their teammates got stuck ","Snithik","3714","2026-03-28T22:12:36.196Z"
"Score","Idle","","Hub","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Intake from Neutral Zone","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69c851eca23b3c991702c135","2844ef0247f68e8f0ec7ca3079b7d406b420c44ad08def3096d764e69f987aa2","","red","2026-03-28T22:10:52.688Z","2026mdsev","2026mdsev_qm42","42","","1","","1","1","","","They are getting hard carried, they suck","Sai","8622","2026-03-28T22:10:52.688Z"
"Intake from Neutral Zone","Score","40","Right Bump","Not Attempted","Intake from Neutral Zone","Score","90","Light","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","None","60","None","Intake from Neutral Zone","Pass","","None","Score","None","40","None","Score","None","20","Moderate","Not Attempted","69c851d3a23b3c991702c134","89e1fd951e90b57bdb8481bfc852725f50ca6f5613e4d14d5d5f2d3175e19f54","","red","2026-03-28T22:10:27.069Z","2026mdsev","2026mdsev_qm42","42","","4","3","2","4","2","","Good","Nidhish","614","2026-03-28T22:10:27.069Z"
"Score","None","30","Hub","Not Attempted","Defense","None","","None","Defense","None","","None","Intake from Neutral Zone","Score","40","None","Pass","Defense","","None","Intake from Neutral Zone","Score","","None","Pass","None","","None","Not Attempted","69c85039a23b3c991702c0cd","35e203b819c6aa25b8c1145d8719fe7c05ca201f4af3cc05640796e5f6ece7f9","","blue","2026-03-28T22:03:37.806Z","2026mdsev","2026mdsev_qm41","41","","2","1","1","1","","1","Defense didn’t work horrible accuracy at the end ","Snithik","623","2026-03-28T22:03:37.806Z"
"Score","Score","80","Left Trench","Not Attempted","Idle","Idle","","None","Idle","Idle","","Heavy","Idle","Idle","","None","Score","Score","","None","Score","Score","","None","Idle","Idle","","None","Not Attempted","69c85022a23b3c991702c0c7","592f391785cc04d837109efbf9df371415c0a88fd3c9db2a5dcde07591980c62","","blue","2026-03-28T22:03:14.231Z","2026mdsev","2026mdsev_qm41","41","","1","2","","1","","","","KING BLUB (OFORI)","2912","2026-03-28T22:03:14.231Z"
"Intake from Neutral Zone","Idle","","Right Trench","Not Attempted","Score","None","80","Moderate","Intake from Neutral Zone","Score","60","Light","Pass","Intake from Neutral Zone","","None","Score","None","50","Moderate","Intake from Neutral Zone","Pass","","Moderate","Score","None","80","None","Not Attempted","69c85006a23b3c991702c0c3","668f30bcfac34f357f72aa64c3d29c9ee6418f00a1790c82a44923e978361e45","","red","2026-03-28T22:02:46.852Z","2026mdsev","2026mdsev_qm41","41","","5","5","4","5","3","","Amazing","Nidhish","836","2026-03-28T22:02:46.852Z"
"Idle","Idle","","Hub","Not Attempted","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69c84fe7a23b3c991702c0c2","a48449791c78a6b5ff09b3143d47a45dc9d73889ff77f7c524a8e4fbd2244336","","red","2026-03-28T22:02:15.647Z","2026mdsev","2026mdsev_qm41","41","","","","","1","","","","Sai","7770","2026-03-28T22:02:15.647Z"
"Idle","None","","Right Bump","Not Attempted","Intake from Neutral Zone","None","","None","Score","None","80","None","Score","None","","None","Defense","None","","None","Defense","Pass","","None","Score","None","","None","Not Attempted","69c84e67a23b3c991702c078","6e5752c00b74a91dc235caefe9f026f08a31f19ae96e8d2c3bad68ba372674b6","","blue","2026-03-28T21:55:51.702Z","2026mdsev","2026mdsev_qm40","40","","3","2","3","2","","1","Bad defense and horrible accuracy can pass but not very well","Snithik","11318","2026-03-28T21:55:51.702Z"
"Intake from Neutral Zone","Score","40","Right Trench","Not Attempted","Intake from Neutral Zone","Score","60","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","50","None","Intake from Neutral Zone","Pass","","None","Score","Score","60","None","Intake from Neutral Zone","Score","80","None","L1 Attempted","69c84e40a23b3c991702c06b","c2ff5c3aa70ae397187bf2ee8ca284952a968285d148885889b9d58d9a9c4fb0","","red","2026-03-28T21:55:12.939Z","2026mdsev","2026mdsev_qm40","40","","5","","4","5","","","","Sai","2199","2026-03-28T21:55:12.939Z"
"Intake from Neutral Zone","Score","60","Left Trench","Not Attempted","Intake from Neutral Zone","None","100","None","Pass","None","","None","Score","None","60","Light","Intake from Neutral Zone","Pass","","None","Score","None","50","None","Intake from Neutral Zone","Score","40","None","Not Attempted","69c84e2ea23b3c991702c05e","d80c2dad42d3bc2963386196fcfe06acad4e13fb45e5b7bb9b58a61f94489abe","","red","2026-03-28T21:54:54.756Z","2026mdsev","2026mdsev_qm40","40","","4","4","3","4","3","","Not bad, but carryed by robo lions","Nidhish","9033","2026-03-28T21:54:54.756Z"
"Score","Score","","Left Trench","Not Attempted","Score","Score","","Light","Score","Score","80","Light","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","80","Moderate","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","","Light","Not Attempted","69c84e2da23b3c991702c05c","d1152119ce16296d1f65ebfb31e1372d3834db0a6c21bbce031b6ae3b958cc8f","","blue","2026-03-28T21:54:53.262Z","2026mdsev","2026mdsev_qm40","40","","3","","4","5","2","","","KING BLUB (OFORI)","2377","2026-03-28T21:54:53.262Z"
"Score","None","50","Left Bump","Not Attempted","Intake from Neutral Zone","None","","None","Idle","None","","None","Score","None","90","None","Intake from Neutral Zone","None","","None","Score","None","90","None","Intake from Neutral Zone","Pass","","None","Not Attempted","69c84c48a23b3c991702c019","baa48c695771872e5021ac309073400d2fac008d53435777ee2c4788ecf0bfdf","","blue","2026-03-28T21:46:48.643Z","2026mdsev","2026mdsev_qm39","39","","3","2","2","2","","","Low accuracy shooter turret ","Snithik","1389","2026-03-28T21:46:48.643Z"
"Idle","Idle","","Left Trench","Not Attempted","Intake from Neutral Zone","Pass","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Not Attempted","69c84c1da23b3c991702c00b","a8408128d931372d83745b95ac170c0890ed1a27350da95ce0f59512d4060ce6","","blue","2026-03-28T21:46:05.919Z","2026mdsev","2026mdsev_qm39","39","","","1","","5","","4","","KING BLUB (OFORI)","11350","2026-03-28T21:46:05.919Z"
"Score","Idle","10","Hub","Not Attempted","Pass","None","","None","Pass","None","","None","Pass","Pass","","None","Pass","Pass","","None","Idle","Defense","","None","Score","Score","20","None","Not Attempted","69c84c08a23b3c991702c003","15e47ee08542d666e87c8d265099fea8d95aef4be7883463c3689273b3b603c1","","red","2026-03-28T21:45:44.433Z","2026mdsev","2026mdsev_qm39","39","","1","2","","2","","","","Sai","10679","2026-03-28T21:45:44.433Z"
"Idle","None","","Left Trench","Not Attempted","Defense","None","","None","Defense","Pass","","None","Defense","Pass","","None","Defense","Pass","","None","Defense","Pass","","None","Defense","Pass","","None","Not Attempted","69c84bfba23b3c991702c002","f5c33b45de85ac2c716967681b9b9ab7a0030fc3f275ed1858dcdc80d1a893f6","","red","2026-03-28T21:45:31.496Z","2026mdsev","2026mdsev_qm39","39","","","4","","5","","5","Very good defence and passer","Nidhish","11211","2026-03-28T21:45:31.496Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69c84a91a23b3c991702bfc1","5fb440b258ce0e6b6e21f7c1cd828f7055b1014ce99b27795c62f7dff7c57bc4","","red","2026-03-28T21:39:29.234Z","2026mdsev","2026mdsev_qm38","38","true","","","","","","","","Sai","1915","2026-03-28T21:39:29.234Z"
"Intake from Neutral Zone","Score","80","Right Bump","Not Attempted","Intake from Neutral Zone","Score","100","None","Intake from Neutral Zone","Pass","","None","Score","None","80","Light","Pass","None","","None","Pass","None","","None","Score","Pass","80","None","L1 Attempted","69c84a76a23b3c991702bfbd","e734b3117ac8fa79c5723fa53a418f968faf5c3c712d7f9c552d2d6e006b2436","","red","2026-03-28T21:39:02.077Z","2026mdsev","2026mdsev_qm38","38","","4","4","4","5","3","","Broken intake. L1 climb. Very good passing","Nidhish","614","2026-03-28T21:39:02.077Z"
"Intake from Neutral Zone","Score","80","Left Trench","Not Attempted","Intake from Neutral Zone","None","","None","Score","None","90","None","Intake from Neutral Zone","Pass","","None","Score","Intake from Neutral Zone","90","None","Intake from Neutral Zone","Pass","","None","Score","None","90","None","Not Attempted","69c84a71a23b3c991702bfbc","757584040b3d6ec3d45d8bc21a7fc3a1a44be36f77638d86fa1e5521716f4766","","blue","2026-03-28T21:38:57.580Z","2026mdsev","2026mdsev_qm38","38","","4","4","5","5","","","Good","Snithik","686","2026-03-28T21:38:57.580Z"
"Idle","Idle","","Right Bump","Not Attempted","Idle","Idle","","None","Defense","Pass","","None","Pass","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69c8491ca23b3c991702bee5","8e58e317461587ca82975bb6679a7d7f19393470212eaef0da03f152d6bc052d","","red","2026-03-28T21:33:16.033Z","2026mdsev","2026mdsev_qm37","37","","","1","","1","","","","Sai","2534","2026-03-28T21:33:16.033Z"
"Score","None","50","Right Bump","Not Attempted","Intake from Neutral Zone","Idle","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Not Attempted","69c84855a23b3c991702bec2","10d91d6bad84d928ef112d43b276a02dd7cea92cd37a68d6032dd5f0814a2c06","","blue","2026-03-28T21:29:57.031Z","2026mdsev","2026mdsev_qm37","37","","","","","3","","4","Good with another defense bot their intake broke and unbent ","Snithik","3714","2026-03-28T21:29:57.031Z"
"Intake from Neutral Zone","Score","70","Right Trench","Not Attempted","Intake from Neutral Zone","Pass","","None","Pass","None","","None","Score","None","60","Moderate","Intake from Neutral Zone","None","","Moderate","Score","None","60","None","Score","None","80","Moderate","Not Attempted","69c8482ba23b3c991702bec0","a0d2a6e6484d004ae8263be00a47c2681dd560699e11a0a94d2a9b21ab3a2884","","red","2026-03-28T21:29:15.116Z","2026mdsev","2026mdsev_qm37","37","","5","5","5","4","3","","Very great robot","Nidhish","1629","2026-03-28T21:29:15.116Z"
